UserID,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
1000001,307,iOS and Android,38570,1,2,Financial,94,5993,8,Yes,11,No,1,0,8
1000002,367,iOS,9765,1,1,Financial,61,5130,1,No,23,Yes,4,1,10
1000003,277,iOS and Android,48055,1,2,Other,92,2090,6,Yes,15,No,2,0,7
1000004,247,iOS,48720,1,4,Financial,56,2909,1,Yes,11,No,3,0,8
1000005,202,iOS and Android,20685,1,1,Medical,40,3468,9,No,12,No,4,1,6
1000006,240,iOS,35175,1,2,Financial,79,3068,0,No,13,No,3,0,8
1000007,,iOS and Android,46340,1,Three,Medical,81,2670,4,Yes,20,Yes,1,3,12
1000008,225,iOS and Android,,24,1,Financial,67,2693,1,No,22,Yes,2,1,1
1000009,285,iOS,7560,23,3,Financial,44,9526,0,No,21,Yes,2,0,10
1000010,270,iOS and Android,45465,27,3,,94,5237,6,No,13,No,2,2,17
1000011,262,iOS and Android,28315,16,3,Medical,84,2426,0,No,13,No,3,1,6
1000012,217,iOS and Android,5355,15,2,Financial,49,4193,0,Yeso,4,0,10,,
1000013,232,iOS and Android,23450,26,1,Financial,31,2911,1,No,17,No,4,1,5
1000014,255,iOS and Android,47110,19,2,Medical,93,2661,0,No,11,No,3,1,3
1000015,210,iOS and Android,3605,24,3,Financial,50,2028,5,Yes,14,No,2,0,6
1000016,217,iOS and Android,48615,21,4,Financial,51,9980,1,No,11,No,3,1,10
1000017,240,iOS and Android,,1,2,Financial,80,3298,0,Yes,12,No,4,2,7
1000018,165,ANDROID,,16,2,Medical,96,2935,1,Yes,13,No,2,2,1
1000019,397,iOS and Android,42665,1,4,Financial,78,15427,2,No,16,No,3,0,31
1000020,285,iOS and Android,12985,1,Three,Financial,45,3944,5,Yes,11,No,3,0,6
1000021,180,ANDROID,23555,11,2,Other,96,4011,0,No,18,No,4,1,5
1000022,270,iOS and Android,42630,1,4,Financial,82,3407,7,No,23,Yes,2,0,10
1000023,255,iOS and Android,14665,1,4,Financial,53,11994,0,No,11,No,3,0,13
1000024,157,iOS and Android,13685,15,2,Financial,96,1232,1,No,14,No,4,0,0
1000025,255,iOS and Android,24465,1,1,Medical,83,2960,2,No,11,No,3,0,8
1000026,397,iOS and Android,44870,1,3,Game,58,19094,4,No,11,No,4,1,26
1000027,240,iOS,39375,16,1,Financial,72,3919,1,Yes,22,Yes,2,0,10
1000028,,,24185,1,4,Social media,48,6825,0,No,11,No,4,1,10
1000029,330,iOS and Android,16695,1,4,Medical,42,10248,3,No,14,No,4,1,24
1000030,345,iOS and Android,,1,4,Social media,83,18947,3,No,12,No,4,0,22
1000031,247,iOS and Android,,1,3,Medical,78,2496,4,No,11,No,4,0,7
1000032,330,iOS and Android,51065,10,4,Other,41,6465,2,Yes,13,No,4,0,9
1000033,225,iOS and Android,4375,1,2,Medical,83,2206,1,No,13,No,1,0,10
1000034,292,iOS and Android,31325,1,3,Entertainment,56,2086,3,No,14,No,3,1,19
1000035,180,iOS and Android,28455,1,3,Medical,61,2293,2,Yes,16,No,1,1,6
1000036,322,iOS and Android,44555,1,2,Medical,72,2645,1,No,12,No,4,2,6
1000037,375,iOS and Android,30415,1,2,Social media,86,2683,1,Yes,14,No,3,0,3
1000038,262,iOS and Android,31150,1,3,Social media,97,2014,1,No,13,No,1,0,2
1000039,270,iOS and Android,29820,1,4,Financial,82,3419,9,Yes,14,No,4,1,6
